program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.538000000,0.540641278,1,"0,1,2,3"
prio,0,0.489000000,0.491621268,1,"0,1,2,3"
baseline,1,0.533000000,0.535932503,1,"0,1,2,3"
prio,1,0.481000000,0.483885628,1,"0,1,2,3"
baseline,2,0.518000000,0.521237653,1,"0,1,2,3"
prio,2,0.482000000,0.484655225,1,"0,1,2,3"
baseline,3,0.542000000,0.544883297,1,"0,1,2,3"
prio,3,0.488000000,0.490562986,1,"0,1,2,3"
baseline,4,0.536000000,0.539065826,1,"0,1,2,3"
prio,4,0.475000000,0.477707408,1,"0,1,2,3"
baseline,5,0.533000000,0.535980201,1,"0,1,2,3"
prio,5,0.495000000,0.497784018,1,"0,1,2,3"
baseline,6,0.543000000,0.546140706,1,"0,1,2,3"
prio,6,0.487000000,0.490422185,1,"0,1,2,3"
baseline,7,0.512000000,0.515270813,1,"0,1,2,3"
prio,7,0.491000000,0.493469386,1,"0,1,2,3"
baseline,8,0.539000000,0.541693580,1,"0,1,2,3"
prio,8,0.498000000,0.500694781,1,"0,1,2,3"
baseline,9,0.543000000,0.545962500,1,"0,1,2,3"
prio,9,0.495000000,0.498100213,1,"0,1,2,3"
baseline,10,0.500000000,0.503395626,1,"0,1,2,3"
prio,10,0.501000000,0.504499967,1,"0,1,2,3"
baseline,11,0.505000000,0.508642664,1,"0,1,2,3"
prio,11,0.496000000,0.499012098,1,"0,1,2,3"
baseline,12,0.538000000,0.541312133,1,"0,1,2,3"
prio,12,0.485000000,0.488370178,1,"0,1,2,3"
baseline,13,0.532000000,0.535414865,1,"0,1,2,3"
prio,13,0.485000000,0.488308325,1,"0,1,2,3"
baseline,14,0.502000000,0.505111624,1,"0,1,2,3"
prio,14,0.488000000,0.490691681,1,"0,1,2,3"
baseline,15,0.500000000,0.503274434,1,"0,1,2,3"
prio,15,0.489000000,0.492317490,1,"0,1,2,3"
baseline,16,0.536000000,0.539024998,1,"0,1,2,3"
prio,16,0.479000000,0.482182193,1,"0,1,2,3"
baseline,17,0.526000000,0.529374206,1,"0,1,2,3"
