program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.642951134,1.642951134,0,"0,1,2,3"
prio,0,1.540388468,1.540388468,0,"0,1,2,3"
baseline,1,1.581438683,1.581438683,0,"0,1,2,3"
prio,1,1.535267047,1.535267047,0,"0,1,2,3"
baseline,2,1.592571956,1.592571956,0,"0,1,2,3"
prio,2,1.507512743,1.507512743,0,"0,1,2,3"
baseline,3,1.627076206,1.627076206,0,"0,1,2,3"
prio,3,1.554195614,1.554195614,0,"0,1,2,3"
baseline,4,1.616205434,1.616205434,0,"0,1,2,3"
prio,4,1.530116395,1.530116395,0,"0,1,2,3"
baseline,5,1.630184756,1.630184756,0,"0,1,2,3"
prio,5,1.512563534,1.512563534,0,"0,1,2,3"
baseline,6,1.602713405,1.602713405,0,"0,1,2,3"
prio,6,1.516904467,1.516904467,0,"0,1,2,3"
baseline,7,1.590358003,1.590358003,0,"0,1,2,3"
prio,7,1.533654199,1.533654199,0,"0,1,2,3"
baseline,8,1.623934406,1.623934406,0,"0,1,2,3"
prio,8,1.532912108,1.532912108,0,"0,1,2,3"
baseline,9,1.609516254,1.609516254,0,"0,1,2,3"
prio,9,1.533795549,1.533795549,0,"0,1,2,3"
baseline,10,1.653946184,1.653946184,0,"0,1,2,3"
prio,10,1.511633972,1.511633972,0,"0,1,2,3"
baseline,11,1.616091538,1.616091538,0,"0,1,2,3"
prio,11,1.502035306,1.502035306,0,"0,1,2,3"
baseline,12,1.553795421,1.553795421,0,"0,1,2,3"
prio,12,1.530682072,1.530682072,0,"0,1,2,3"
baseline,13,1.585520064,1.585520064,0,"0,1,2,3"
prio,13,1.554576808,1.554576808,0,"0,1,2,3"
baseline,14,1.614873081,1.614873081,0,"0,1,2,3"
prio,14,1.550580905,1.550580905,0,"0,1,2,3"
baseline,15,1.629323366,1.629323366,0,"0,1,2,3"
prio,15,1.538367520,1.538367520,0,"0,1,2,3"
baseline,16,1.634342852,1.634342852,0,"0,1,2,3"
prio,16,1.546274433,1.546274433,0,"0,1,2,3"
baseline,17,1.632839415,1.632839415,0,"0,1,2,3"
prio,17,1.529401199,1.529401199,0,"0,1,2,3"
