program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,25.889584481,25.889584481,0,"0,1,2,3"
prio,0,19.317960273,19.317960273,0,"0,1,2,3"
baseline,1,25.614112532,25.614112532,0,"0,1,2,3"
prio,1,19.301357337,19.301357337,0,"0,1,2,3"
baseline,2,26.116881689,26.116881689,0,"0,1,2,3"
prio,2,19.235391312,19.235391312,0,"0,1,2,3"
baseline,3,26.016504592,26.016504592,0,"0,1,2,3"
prio,3,19.216673243,19.216673243,0,"0,1,2,3"
baseline,4,24.521183893,24.521183893,0,"0,1,2,3"
prio,4,19.164536263,19.164536263,0,"0,1,2,3"
baseline,5,25.595111838,25.595111838,0,"0,1,2,3"
prio,5,19.247321570,19.247321570,0,"0,1,2,3"
baseline,6,26.096847935,26.096847935,0,"0,1,2,3"
prio,6,19.210942758,19.210942758,0,"0,1,2,3"
baseline,7,25.650660576,25.650660576,0,"0,1,2,3"
prio,7,19.228216549,19.228216549,0,"0,1,2,3"
baseline,8,22.368159651,22.368159651,0,"0,1,2,3"
prio,8,19.245661150,19.245661150,0,"0,1,2,3"
baseline,9,25.889783956,25.889783956,0,"0,1,2,3"
prio,9,19.251039040,19.251039040,0,"0,1,2,3"
baseline,10,26.179994884,26.179994884,0,"0,1,2,3"
prio,10,19.275692846,19.275692846,0,"0,1,2,3"
baseline,11,26.208731731,26.208731731,0,"0,1,2,3"
prio,11,19.279206271,19.279206271,0,"0,1,2,3"
baseline,12,25.683331344,25.683331344,0,"0,1,2,3"
prio,12,19.287524376,19.287524376,0,"0,1,2,3"
baseline,13,25.920328113,25.920328113,0,"0,1,2,3"
prio,13,19.223481529,19.223481529,0,"0,1,2,3"
baseline,14,25.519469904,25.519469904,0,"0,1,2,3"
prio,14,19.166893745,19.166893745,0,"0,1,2,3"
baseline,15,24.623044870,24.623044870,0,"0,1,2,3"
prio,15,19.175272811,19.175272811,0,"0,1,2,3"
baseline,16,24.341414375,24.341414375,0,"0,1,2,3"
prio,16,19.181333678,19.181333678,0,"0,1,2,3"
baseline,17,25.963637754,25.963637754,0,"0,1,2,3"
prio,17,19.285548903,19.285548903,0,"0,1,2,3"
baseline,18,25.666936119,25.666936119,0,"0,1,2,3"
prio,18,19.514097877,19.514097877,0,"0,1,2,3"
baseline,19,25.940635832,25.940635832,0,"0,1,2,3"
prio,19,19.204321309,19.204321309,0,"0,1,2,3"
baseline,20,25.446131627,25.446131627,0,"0,1,2,3"
prio,20,19.342633496,19.342633496,0,"0,1,2,3"
baseline,21,24.513082130,24.513082130,0,"0,1,2,3"
prio,21,19.191745385,19.191745385,0,"0,1,2,3"
baseline,22,26.241566815,26.241566815,0,"0,1,2,3"
prio,22,19.197031070,19.197031070,0,"0,1,2,3"
baseline,23,24.818605558,24.818605558,0,"0,1,2,3"
prio,23,19.196322790,19.196322790,0,"0,1,2,3"
baseline,24,26.239046781,26.239046781,0,"0,1,2,3"
prio,24,19.179753332,19.179753332,0,"0,1,2,3"
baseline,25,25.670436438,25.670436438,0,"0,1,2,3"
prio,25,19.262637467,19.262637467,0,"0,1,2,3"
baseline,26,22.255357755,22.255357755,0,"0,1,2,3"
prio,26,19.287822767,19.287822767,0,"0,1,2,3"
baseline,27,26.003894653,26.003894653,0,"0,1,2,3"
prio,27,19.228088526,19.228088526,0,"0,1,2,3"
baseline,28,25.366683141,25.366683141,0,"0,1,2,3"
prio,28,19.263067056,19.263067056,0,"0,1,2,3"
baseline,29,24.060764893,24.060764893,0,"0,1,2,3"
prio,29,19.292156173,19.292156173,0,"0,1,2,3"
baseline,30,25.651261642,25.651261642,0,"0,1,2,3"
prio,30,19.228741598,19.228741598,0,"0,1,2,3"
baseline,31,26.081423941,26.081423941,0,"0,1,2,3"
prio,31,19.237679935,19.237679935,0,"0,1,2,3"
baseline,32,24.354314166,24.354314166,0,"0,1,2,3"
prio,32,19.219130503,19.219130503,0,"0,1,2,3"
baseline,33,24.412225785,24.412225785,0,"0,1,2,3"
prio,33,19.238901401,19.238901401,0,"0,1,2,3"
