platform,work_scale,repeats,baseline_mean_s,baseline_total_s,baseline_max_s,baseline_min_s,prio_mean_s,prio_total_s,prio_max_s,prio_min_s,delta_mean_s,improvement_ratio,cpu_set,cores_per_task,created_at,out_dir
vm,100,50,0.869168630,43.458431498,0.961931462,0.748193549,0.622145551,31.107277556,0.656775749,0.607911534,-0.247023079,0.284206160,"0,1,2,3",4,2026-01-31T06-46-17-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T06-46-17-08-00_ws100_r50_c4
vm,300,100,2.577848275,257.784827475,2.822189458,2.295412192,1.893886301,189.388630088,1.938652743,1.828717505,-0.683961974,0.265322820,"0,1,2,3",4,2026-01-31T10-05-27-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T10-05-27-08-00_ws300_r100_c4
vm,1000,50,8.429341662,421.467083079,8.802169290,7.396072848,6.395067280,319.753364010,6.565150022,6.326004640,-2.034274381,0.241332534,"0,1,2,3",4,2026-01-31T06-47-32-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T06-47-32-08-00_ws1000_r50_c4
vm,3000,100,25.249604073,2524.960407321,26.433636643,21.706491579,19.235838480,1923.583847963,19.514097877,19.129249617,-6.013765594,0.238172669,"0,1,2,3",4,2026-01-31T10-12-54-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T10-12-54-08-00_ws3000_r100_c4
vm,15000,50,126.377612165,6318.880608252,131.802167831,113.612063322,96.286190172,4814.309508619,97.717733015,95.924751237,-30.091421993,0.238107221,"0,1,2,3",4,2026-01-31T06-59-53-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T06-59-53-08-00_ws15000_r50_c4
vm,30000,100,255.572855828,25557.285582822,269.432892696,224.905094514,193.383836554,19338.383655414,199.771853571,192.132841237,-62.189019274,0.243331864,"0,1,2,3",4,2026-01-31T11-27-03-08-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2虚拟机实验结果汇总/2026-01-31T11-27-03-08-00_ws30000_r100_c4
rk3588,50,48,4.475934290,214.844845916,4.546140531,4.367382507,3.163943810,151.869302880,3.639740864,3.068163724,-1.311990480,0.293121032,"0,1,2,3",4,2026-02-02T08-29-28+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T08-29-28+00-00_ws50_r48
rk3588,50,50,4.498214563,224.910728166,4.563646096,4.421822539,3.182020202,159.101010081,3.495384856,3.081138864,-1.316194362,0.292603730,"0,1,2,3",4,2026-02-02T10-45-23+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T10-45-23+00-00_ws50_r50
rk3588,70,50,6.286672277,314.333613847,6.409041051,6.158487127,4.440249714,222.012485682,5.026096980,4.322020539,-1.846422563,0.293704281,"0,1,2,3",4,2026-02-02T10-51-48+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T10-51-48+00-00_ws70_r50
rk3588,100,50,8.980575088,449.028754405,9.077471257,8.900611166,6.466580022,323.329001082,7.126861323,6.207400371,-2.513995066,0.279936980,"0,1,2,3",4,2026-02-02T11-00-46+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T11-00-46+00-00_ws100_r50
rk3588,200,50,17.962771616,898.138580785,18.085639992,17.856639804,13.271845200,663.592260018,14.794832907,12.506968678,-4.690926415,0.261147139,"0,1,2,3",4,2026-02-02T08-35-36+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T08-35-36+00-00_ws200_r50
rk3588,300,50,26.943525012,1347.176250579,27.142175466,26.840326922,19.644769837,982.238491874,22.994854056,18.769732172,-7.298755174,0.270890879,"0,1,2,3",4,2026-02-02T09-01-39+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T09-01-39+00-00_ws300_r50
rk3588,500,50,44.933308443,2246.665422141,45.056833312,44.830311034,32.924940213,1646.247010667,37.251307981,31.336883283,-12.008368229,0.267248699,"0,1,2,3",4,2026-02-02T09-40-29+00-00,/home/chove/Desktop/mydag/mycallyplus_v1/experiment/experiment2（rk3588）实验结果/2026-02-02T09-40-29+00-00_ws500_r50
