program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.506393843,2.506393843,0,"0,1,2,3"
prio,0,1.907127577,1.907127577,0,"0,1,2,3"
baseline,1,2.609198664,2.609198664,0,"0,1,2,3"
prio,1,1.889105447,1.889105447,0,"0,1,2,3"
baseline,2,2.641614120,2.641614120,0,"0,1,2,3"
prio,2,1.893847986,1.893847986,0,"0,1,2,3"
baseline,3,2.631933057,2.631933057,0,"0,1,2,3"
prio,3,1.892197905,1.892197905,0,"0,1,2,3"
baseline,4,2.643364569,2.643364569,0,"0,1,2,3"
prio,4,1.877475394,1.877475394,0,"0,1,2,3"
baseline,5,2.376173694,2.376173694,0,"0,1,2,3"
prio,5,1.903614699,1.903614699,0,"0,1,2,3"
baseline,6,2.628913808,2.628913808,0,"0,1,2,3"
prio,6,1.848780371,1.848780371,0,"0,1,2,3"
baseline,7,2.622596010,2.622596010,0,"0,1,2,3"
prio,7,1.886435738,1.886435738,0,"0,1,2,3"
baseline,8,2.575810549,2.575810549,0,"0,1,2,3"
prio,8,1.886693659,1.886693659,0,"0,1,2,3"
baseline,9,2.593077997,2.593077997,0,"0,1,2,3"
prio,9,1.884104937,1.884104937,0,"0,1,2,3"
baseline,10,2.553503135,2.553503135,0,"0,1,2,3"
prio,10,1.900423140,1.900423140,0,"0,1,2,3"
baseline,11,2.542911668,2.542911668,0,"0,1,2,3"
prio,11,1.932235230,1.932235230,0,"0,1,2,3"
baseline,12,2.472591552,2.472591552,0,"0,1,2,3"
prio,12,1.886144216,1.886144216,0,"0,1,2,3"
baseline,13,2.607262429,2.607262429,0,"0,1,2,3"
prio,13,1.892663464,1.892663464,0,"0,1,2,3"
baseline,14,2.566683138,2.566683138,0,"0,1,2,3"
prio,14,1.894371590,1.894371590,0,"0,1,2,3"
baseline,15,2.634050836,2.634050836,0,"0,1,2,3"
prio,15,1.878413228,1.878413228,0,"0,1,2,3"
baseline,16,2.578608067,2.578608067,0,"0,1,2,3"
prio,16,1.885267103,1.885267103,0,"0,1,2,3"
baseline,17,2.623980232,2.623980232,0,"0,1,2,3"
prio,17,1.883545976,1.883545976,0,"0,1,2,3"
baseline,18,2.627929966,2.627929966,0,"0,1,2,3"
prio,18,1.888207346,1.888207346,0,"0,1,2,3"
baseline,19,2.397643258,2.397643258,0,"0,1,2,3"
prio,19,1.884899720,1.884899720,0,"0,1,2,3"
baseline,20,2.507462855,2.507462855,0,"0,1,2,3"
prio,20,1.921209923,1.921209923,0,"0,1,2,3"
baseline,21,2.549277656,2.549277656,0,"0,1,2,3"
