program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,9.027125808,9.027125808,0,"0,1,2,3"
prio,0,6.963632934,6.963632934,0,"0,1,2,3"
baseline,1,8.949431950,8.949431950,0,"0,1,2,3"
prio,1,6.312845483,6.312845483,0,"0,1,2,3"
baseline,2,8.938195769,8.938195769,0,"0,1,2,3"
prio,2,6.561213973,6.561213973,0,"0,1,2,3"
baseline,3,9.016141677,9.016141677,0,"0,1,2,3"
prio,3,6.494773294,6.494773294,0,"0,1,2,3"
baseline,4,8.991220459,8.991220459,0,"0,1,2,3"
prio,4,6.209939106,6.209939106,0,"0,1,2,3"
baseline,5,8.961067724,8.961067724,0,"0,1,2,3"
prio,5,6.741939919,6.741939919,0,"0,1,2,3"
baseline,6,8.957581338,8.957581338,0,"0,1,2,3"
prio,6,6.209525512,6.209525512,0,"0,1,2,3"
baseline,7,8.976279720,8.976279720,0,"0,1,2,3"
prio,7,6.446651821,6.446651821,0,"0,1,2,3"
baseline,8,8.972362530,8.972362530,0,"0,1,2,3"
prio,8,6.265713995,6.265713995,0,"0,1,2,3"
baseline,9,9.023317788,9.023317788,0,"0,1,2,3"
prio,9,6.210296116,6.210296116,0,"0,1,2,3"
baseline,10,8.945898895,8.945898895,0,"0,1,2,3"
prio,10,6.302654330,6.302654330,0,"0,1,2,3"
baseline,11,8.993091843,8.993091843,0,"0,1,2,3"
prio,11,6.211827115,6.211827115,0,"0,1,2,3"
baseline,12,8.979870234,8.979870234,0,"0,1,2,3"
prio,12,6.211715113,6.211715113,0,"0,1,2,3"
baseline,13,8.966407702,8.966407702,0,"0,1,2,3"
prio,13,6.210044984,6.210044984,0,"0,1,2,3"
baseline,14,9.000713716,9.000713716,0,"0,1,2,3"
prio,14,6.790274438,6.790274438,0,"0,1,2,3"
baseline,15,9.013031884,9.013031884,0,"0,1,2,3"
prio,15,6.207400371,6.207400371,0,"0,1,2,3"
baseline,16,8.964318479,8.964318479,0,"0,1,2,3"
prio,16,6.209599597,6.209599597,0,"0,1,2,3"
baseline,17,8.950317182,8.950317182,0,"0,1,2,3"
prio,17,6.213114568,6.213114568,0,"0,1,2,3"
baseline,18,8.946293823,8.946293823,0,"0,1,2,3"
prio,18,6.295080500,6.295080500,0,"0,1,2,3"
baseline,19,9.015316571,9.015316571,0,"0,1,2,3"
prio,19,6.210032733,6.210032733,0,"0,1,2,3"
baseline,20,8.992688457,8.992688457,0,"0,1,2,3"
prio,20,6.209774018,6.209774018,0,"0,1,2,3"
baseline,21,8.950594564,8.950594564,0,"0,1,2,3"
prio,21,6.523388654,6.523388654,0,"0,1,2,3"
baseline,22,8.976356055,8.976356055,0,"0,1,2,3"
prio,22,6.209282255,6.209282255,0,"0,1,2,3"
baseline,23,8.900611166,8.900611166,0,"0,1,2,3"
prio,23,6.622305921,6.622305921,0,"0,1,2,3"
baseline,24,9.061376362,9.061376362,0,"0,1,2,3"
prio,24,6.966013458,6.966013458,0,"0,1,2,3"
baseline,25,8.994656969,8.994656969,0,"0,1,2,3"
prio,25,6.210245656,6.210245656,0,"0,1,2,3"
baseline,26,8.969067191,8.969067191,0,"0,1,2,3"
prio,26,6.427742058,6.427742058,0,"0,1,2,3"
baseline,27,8.955474572,8.955474572,0,"0,1,2,3"
prio,27,6.329384890,6.329384890,0,"0,1,2,3"
baseline,28,9.020834762,9.020834762,0,"0,1,2,3"
prio,28,6.468360827,6.468360827,0,"0,1,2,3"
baseline,29,8.967841283,8.967841283,0,"0,1,2,3"
prio,29,7.108292152,7.108292152,0,"0,1,2,3"
baseline,30,8.977431251,8.977431251,0,"0,1,2,3"
prio,30,6.725218881,6.725218881,0,"0,1,2,3"
baseline,31,8.986825214,8.986825214,0,"0,1,2,3"
prio,31,6.346172304,6.346172304,0,"0,1,2,3"
baseline,32,8.964166766,8.964166766,0,"0,1,2,3"
prio,32,6.834110962,6.834110962,0,"0,1,2,3"
baseline,33,9.011144458,9.011144458,0,"0,1,2,3"
prio,33,6.209098792,6.209098792,0,"0,1,2,3"
baseline,34,8.916442096,8.916442096,0,"0,1,2,3"
prio,34,6.930102150,6.930102150,0,"0,1,2,3"
baseline,35,8.947826072,8.947826072,0,"0,1,2,3"
prio,35,6.291689283,6.291689283,0,"0,1,2,3"
baseline,36,9.016095342,9.016095342,0,"0,1,2,3"
prio,36,6.889875766,6.889875766,0,"0,1,2,3"
baseline,37,8.999970112,8.999970112,0,"0,1,2,3"
prio,37,6.208934871,6.208934871,0,"0,1,2,3"
baseline,38,8.977467711,8.977467711,0,"0,1,2,3"
prio,38,6.209779560,6.209779560,0,"0,1,2,3"
baseline,39,9.011536302,9.011536302,0,"0,1,2,3"
prio,39,6.447984525,6.447984525,0,"0,1,2,3"
baseline,40,9.066308663,9.066308663,0,"0,1,2,3"
prio,40,6.778075441,6.778075441,0,"0,1,2,3"
baseline,41,8.988904562,8.988904562,0,"0,1,2,3"
prio,41,6.209345840,6.209345840,0,"0,1,2,3"
baseline,42,8.952765498,8.952765498,0,"0,1,2,3"
prio,42,6.801803626,6.801803626,0,"0,1,2,3"
baseline,43,8.983166449,8.983166449,0,"0,1,2,3"
prio,43,6.971172806,6.971172806,0,"0,1,2,3"
baseline,44,8.999596478,8.999596478,0,"0,1,2,3"
prio,44,6.425256782,6.425256782,0,"0,1,2,3"
baseline,45,8.918127684,8.918127684,0,"0,1,2,3"
prio,45,6.886544593,6.886544593,0,"0,1,2,3"
baseline,46,8.965213878,8.965213878,0,"0,1,2,3"
prio,46,6.210355617,6.210355617,0,"0,1,2,3"
baseline,47,8.939326300,8.939326300,0,"0,1,2,3"
prio,47,6.244050449,6.244050449,0,"0,1,2,3"
baseline,48,9.077471257,9.077471257,0,"0,1,2,3"
prio,48,6.229501720,6.229501720,0,"0,1,2,3"
baseline,49,8.951481839,8.951481839,0,"0,1,2,3"
prio,49,7.126861323,7.126861323,0,"0,1,2,3"
