CPC 节点优先级（m=2，缺权重置 0）：
provider 段数: 5
节点数: 40
main: prio=80, weight=0
main/malloc1: prio=79, weight=25500
main/pthread_create2: prio=78, weight=31764
threadtask1: prio=77, weight=0
threadtask1/malloc1: prio=76, weight=31447
threadtask1/Deg2rad2: prio=75, weight=333
threadtask1/printf3: prio=74, weight=2676
threadtask1/pthread_create4: prio=73, weight=42523
threadtask2: prio=72, weight=0
threadtask2/malloc1: prio=71, weight=12788
threadtask2/malloc2: prio=70, weight=134
threadtask2/minver3: prio=69, weight=841
threadtask2/printf4: prio=68, weight=290
threadtask2/pthread_create5: prio=67, weight=26974
threadtask3: prio=66, weight=0
threadtask2/pthread_create6: prio=65, weight=20810
threadtask4: prio=64, weight=0
threadtask2/ndes7: prio=63, weight=2652
threadtask2/printf8: prio=62, weight=95
threadtask2/pthread_join9: prio=61, weight=40756
threadtask2/pthread_join10: prio=60, weight=128
threadtask2/free11: prio=59, weight=114
threadtask2/free12: prio=58, weight=57
threadtask2/ludcmp13: prio=57, weight=1245
threadtask2/printf14: prio=56, weight=156
threadtask1/pthread_join9: prio=55, weight=143784
threadtask1/free10: prio=54, weight=189
threadtask1/insertsort11: prio=53, weight=311
threadtask1/printf12: prio=52, weight=122
main/pthread_join3: prio=51, weight=257524
main/free4: prio=50, weight=158
main/printf5: prio=49, weight=159
threadtask1/cover5: prio=48, weight=268
threadtask1/printf6: prio=47, weight=134
threadtask1/duff7: prio=46, weight=199
threadtask1/printf8: prio=45, weight=102
threadtask3/rad2deg1: prio=44, weight=361
threadtask3/printf2: prio=43, weight=233
threadtask4/prime1: prio=42, weight=281
threadtask4/printf2: prio=41, weight=224
